word,syllabls_count
דווקא,2
דוח,2
דוחף,2
דולר,2
דומה,2
דחה,2
דחף,2
די,1
דיבר,2
דיברו,2
דיברנו,3
דיברתי,3
דיווח,3
דיון,2
דיוק,2
דיור,2
דין,1
דינו,2
דיפלומטיים,4
דיפלומטים,4
דירה,2
דירות,2
דמוקרטי,3
דמוקרטיות,4
דמוקרטים,4
דמוקרטית,4
דן,1
דנמרק,3
דעות,2
דעת,2
דעתי,3
דעתם,3
דקות,2
דרום,2
דרך,2
דרכה,2
דרכים,2
דרמה,2
דרמטי,3
דרעי,2
דת,1
דתי,2
האבטלה,4
האבל,3
האדם,3
האדמה,4
האובייקטיבי,5
האוויר,3
האווירית,4
האוכלוסיה,5
האום,2
האוניברסיטאות,7
האופי,3
האופניים,5
האוצר,3
האזוריות,5
האזורים,4
האזרח,3
האזרחית,4
האחרון,4
האחרונה,4
האחרונות,4
האחרונים,4
האחרים,4
האיוולת,4
האיזון,3
האיחוד,3
האימהות,4
האינטרס,4
האינתיפאדה,5
האירוויזיון,5
האירופאי,5
האירופי,4
האיש,2
האישה,3
האכיפה,4
האלה,3
האם,2
האמהות,4
האמידים,4
האמנה,4
האמנון,3
האמריקאי,6
האמריקאית,6
האמת,3
האנטישמיים,5
האנשים,4
האפרטהייד,4
האפשרות,4
האצבע,3
האקטיביזם,5
הארגון,3
הארגונים,4
הארכיונים,5
הארץ,3
הארצי,3
האתיקה,4
הבאה,3
הבאנו,3
הבאתם,3
הבגץ,3
הבהיר,2
הבודדות,4
הבוקר,3
הבחירות,3
הבטחת,3
הבטיחות,4
הביא,2
הביטוח,4
הביטחון,4
הביטחוני,4
הביטחוניים,5
הבייבי,3
הבינלאומי,5
הבינלאומיים,6
הבינלאומית,5
הביקורת,4
הביקוש,3
הבית,3
הביתה,3
הבכירים,3
הבלעדיות,5
הבלתי,3
הבניה,3
הבנייה,3
הבעיה,4
הבעלות,4
הבקשה,4
הבריאות,3
הברית,2
הבתים,3
הג,1
הגבול,2
הגבירה,3
הגדה,3
הגדול,3
הגדולה,3
הגדיל,2
הגדלתי,3
הגולן,3
הגז,2
הגיוני,3
הגיוס,3
הגיור,3
הגיע,3
הגיעו,3
הגירוש,3
הגירעון,4
הגיש,2
הגלובלי,4
הגלובליזם,5
הגמלאים,4
הגענו,3
הגעתי,3
הגרעין,3
הגשר,3
הגשת,3
הגשתי,3
הדביק,2
הדבר,3
הדברים,3
הדגל,3
הדו,2
הדיון,3
הדיונים,4
הדיור,3
הדין,2
הדירות,3
הדליפה,3
הדלק,3
הדס,2
הדעת,3
הדתי,3
הדתית,3
ההבטחות,4
ההדלפות,4
ההוכחה,4
ההוצאה,4
ההוצאות,4
ההורים,3
ההחלטה,4
ההחלטות,4
ההטבה,4
ההיצע,3
ההכנסות,4
ההלכה,4
ההמלצה,4
ההמלצות,4
ההנחיות,4
ההסדרה,4
ההסכמים,4
ההסתדרות,4
ההפגנות,4
ההצעת,4
ההרוגים,4
ההשוואה,4
ההשעיה,4
ההשקעה,4
ההתגברות,4
ההתייקרות,4
ההתיישבות,4
הוא,1
הואשם,3
הוביל,2
הובילה,3
הוגשו,2
הודו,2
הודח,2
הודיע,3
הוויקיפדיה,5
הוועדה,4
הוזלה,2
הוזמנו,3
הוכחה,3
הוכחתם,3
הוכיח,3
הולך,2
הולכים,2
הולנד,2
הומניטארי,5
הומצא,2
הוסכם,2
הוספתי,3
הועבר,3
הופכת,3
הופרך,2
הוצאנו,3
הוציא,2
הוקם,2
הוקמה,2
הורג,2
הורדנו,3
הורידה,3
הוריות,3
הושבעת,3
הושגה,2
הזאת,2
הזאתי,3
הזדמנות,3
הזה,2
הזו,2
הזכאים,4
הזכויות,3
הזמינו,3
הזמן,2
הזמני,3
הזמנים,2
הזעקה,4
הזקנה,3
הזרים,3
החברות,4
החד,2
החדש,3
החדשות,4
החדשים,4
החודשים,4
החולים,3
החומוס,3
החומרים,4
החוץ,2
החוק,2
החזיקו,3
החזרנו,3
החיים,3
החילוני,4
החינוך,3
החישובים,4
החל,2
החלטה,3
החלטות,3
החליט,2
החלת,3
החמאס,3
החמאסניקים,5
החמיץ,2
החמישי,4
החנויות,4
החקיקה,4
החקירה,4
החקלאות,4
החרדי,4
החרדיות,5
החרדים,4
החשב,3
החשוד,3
החשמל,3
החשמליים,5
הטבות,3
הטבעי,3
הטיה,3
הטיימס,2
הטיפול,3
הטירוף,3
הטענות,4
היא,2
הידיים,4
הידע,3
היה,2
היהודי,4
היהודית,4
היו,2
היום,2
היועמש,4
היועץ,3
היוצאים,3
היותר,3
היחיד,3
היחידה,4
היחידי,4
היחידים,4
היחסים,4
היינו,3
הייעוץ,3
היית,2
הייתה,2
הייתי,3
היכולת,4
הילד,3
הילדים,4
הים,2
הימים,3
הימין,3
היסוד,3
היסטורי,3
היסטוריה,3
היסטורית,3
היסע,2
היציאה,4
היקף,2
היקפי,3
היקר,3
הירוק,3
הישג,2
הישיבות,4
הישראלי,5
היתה,2
היתר,2
היתרים,3
הכהונה,4
הכותל,3
הכי,2
הכיר,2
הכל,2
הכלכלה,4
הכלכלי,4
הכלכלית,4
הכלל,2
הכללי,3
הכללים,3
הכללית,3
הכניסה,3
הכניסו,3
הכנס,3
הכנסה,3
הכנסות,3
הכנסת,3
הכנרת,4
הכספים,3
הכפלנו,3
הכריז,2
הכריזה,3
הכתבה,4
הלא,2
הלאה,2
הלאום,3
הלאומי,4
הלאומים,4
הלאומית,4
הלבשה,3
הלהטבית,5
הליך,2
הליכוד,3
הלימודים,4
הלך,2
הלכה,2
הלכו,2
הללו,3
הלמס,3
הלשכה,3
הם,1
המאה,3
המאוחדת,5
המאזינים,5
המבצע,3
המבקר,4
המגבלות,4
המגויסים,5
המגזר,3
המדד,3
המדינה,4
המדינות,3
המדיני,4
המדיניות,4
המדרג,3
המהלך,4
המוות,3
המוחלט,3
המון,2
המונופול,4
המונים,3
המוניציפלי,6
המוניציפליות,6
המוסמך,3
המועמדים,5
המועצה,4
המועצות,4
המזון,3
המחבלים,4
המחוזי,4
המחוקק,4
המחיר,3
המחירים,4
המחקר,3
המטוס,3
המטענים,4
המטרה,4
המידע,3
המיוחד,4
המים,2
המינויים,4
המינימום,4
המינימליים,5
המכון,3
המכפלה,4
המלא,3
המלאכה,5
המלג,3
המלחמה,4
המלט,3
המלצה,3
המלצות,3
המלצת,3
הממונה,4
הממוצע,4
הממשלה,4
הממשלות,4
הממשלתי,4
הממשלתיות,5
המנדט,3
המסים,3
המספר,3
המספרים,4
המסקנה,4
המסתננים,5
המעבר,4
המעורבת,5
המעטפות,5
המערב,4
המערבי,5
המערבית,5
המפותחות,5
המפלגה,4
המפלגות,4
המפתח,4
המצב,3
המקומיות,5
המקומית,4
המקרים,3
המקרקעין,5
המרכולים,4
המשותף,4
המשותפת,5
המשטרה,4
המשטרתיים,5
המשימה,4
המשמעותי,5
המשפחה,4
המשפט,3
המשפטי,4
המשפטים,4
המשפטנים,5
המשק,3
המשרד,3
הן,1
הנאמנות,5
הנבחר,3
הנגבי,3
הנה,2
הנוכחית,4
הנוספות,3
הנוצרים,3
הנושא,3
הנותרים,3
הנחה,3
הנחיות,3
הנחיית,3
הניב,2
הניהול,3
הנישואין,4
הנכבד,3
הנכבה,3
הנמוך,3
הנמוכה,4
הנמוכות,4
הנעלה,3
הנפרדים,4
הנשיא,3
הנשק,3
הנתון,3
הנתונים,4
הסברים,3
הסגולה,3
הסגן,2
הסגנים,3
הסדר,2
הסוכנות,3
הסטטוס,3
הסיגריות,4
הסיוע,4
הסינים,3
הסיעוד,3
הסיעות,3
הסיפור,3
הסכם,2
הסכמה,3
הסכמי,3
הסמכות,3
הסנקציות,3
הסעיף,3
הספיק,2
הסקודה,3
הסקרים,3
הסרט,3
הסרק,2
הסתייגות,3
העבודה,4
העבודות,4
העביר,3
העבירה,4
העברנו,4
העברתי,4
העגומה,4
העדפה,4
העובדה,3
העובדים,3
העולם,3
העולמי,4
העוני,3
העידו,3
העיסוק,3
העיר,2
העירה,3
העירייה,4
העיתונאים,5
העלאה,4
העלאת,4
העלה,3
העליון,3
העלייה,4
העלנו,4
העם,2
העמדה,3
העמותות,4
העניין,3
העצמאות,4
העקירה,4
העקרונות,4
הערבי,4
הערביות,5
הערביים,4
הערבית,4
הערים,3
הערכות,4
העשורים,4
העשרים,3
העתירה,4
העתקה,4
הפגנה,3
הפגנות,3
הפוך,2
הפוליטיים,5
הפוליטית,4
הפונדקאות,5
הפחם,3
הפטור,2
הפיתוח,4
הפכה,2
הפליטים,3
הפלילי,3
הפליליות,4
הפלסטינים,5
הפלסטינית,5
הפניות,3
הפנים,3
הפנימי,3
הפנמה,3
הפסדים,3
הפסדנו,3
הפסידו,3
הפעלת,3
הפעם,3
הפצועים,3
הפקולטה,4
הפרדה,3
הפרוטוקול,4
הפרופ,4
הפרטה,3
הפרטיים,4
הפרלמנט,4
הפרקליטות,4
הפרת,3
הפתרון,4
הצ,1
הצביעה,3
הצביעו,3
הצבנו,3
הצבעה,3
הצבעתי,3
הצוללות,4
הצורך,3
הצטרפו,3
הציבור,3
הציבורי,4
הציבוריים,5
הציבורית,4
הציג,2
הציונות,4
הציע,3
הצמיחה,3
הצעה,3
הצעות,3
הצענו,3
הצער,3
הצעת,3
הצפה,3
הצפון,3
הצרפתי,4
הקביעה,3
הקדנציה,4
הקהילה,4
הקו,2
הקואליציה,5
הקואליציוני,6
הקואליציוניים,6
הקודם,3
הקודמות,3
הקודמת,4
הקולנוע,4
הקונגרס,3
הקופה,3
הקטנים,3
הקיים,3
הקים,2
הקמפיין,3
הקמת,2
הקמתה,3
הקנאביס,4
הקנטרניות,5
הקנייה,3
הקפדתי,4
הקפוא,3
הקרב,2
הקרובות,3
הקרקע,3
הקשבת,3
הר,1
הראיון,4
הראייתית,5
הראש,2
הראשון,3
הראשונה,4
הראשונים,4
הרב,2
הרבה,2
הרביעי,4
הרבנות,4
הרבעון,3
הרגולטורים,6
הרדיו,3
הרוב,2
הרוגים,3
הרי,2
הריאלי,4
הריבוי,3
הרייטינג,3
הרכב,2
הרכבת,4
הרצוג,2
הרשויות,4
הרשות,3
הרשימה,4
הרשמית,3
הרשתות,4
השארתי,3
השבוע,4
השביתה,3
השבתון,4
השגרירה,4
השגרירויות,5
השגרירות,4
השגת,3
השואה,3
השוויון,3
השווינו,3
השוטרים,3
השופט,3
השופטים,3
השופטת,3
השחור,3
השחיתות,3
השחרורים,4
השטח,3
השטחים,3
השידור,3
השיח,3
השיחות,3
השינוי,3
השיפוטי,4
השכונה,3
השכונות,3
השכר,3
השלוש,3
השלטונית,4
השמאל,2
השנאה,3
השנה,3
השני,3
השנייה,3
השנים,3
השנתי,3
השנתיים,4
השערות,3
השפה,3
השפיע,3
השפעה,3
השקיפות,3
השרה,3
השתנה,3
השתנו,3
השתנתה,3
השתתפו,3
התאגיד,4
התאמות,3
התבצע,4
התגברות,3
התגייסו,3
התהליך,4
התוספת,4
התורה,3
התורני,4
התחבורה,4
התחדש,3
התחייבה,3
התחייבו,3
התחייבות,3
התחייבנו,4
התחיל,2
התיווך,3
התייחסות,3
התייחסותו,5
התייתרה,3
התיכון,3
התיקים,3
התלמידים,4
התמודדנו,4
התמתנות,3
התנגדה,3
התנחלות,3
התעלמות,3
התערב,3
התעשייה,5
התפילה,3
התפרסם,3
התקבל,3
התקבלה,3
התקבלו,3
התקדים,3
התקציב,3
התקציבים,4
התקשורת,4
התראה,3
התרבות,3
התשעים,3
התשתית,3
ואבטחה,4
ואגב,3
ואוזקים,3
ואולי,3
ואומר,3
ואוסטריה,4
ואותו,3
ואז,2
ואזרחים,4
ואחריו,4
ואחרים,4
ואיזה,3
ואין,2
ואם,2
ואמנות,4
ואמר,3
ואנגלית,3
ואנחנו,4
ואני,3
ואנשיו,4
ואנשים,4
ואף,2
ואפילו,4
ואפליה,4
ואריתריאה,5
ואת,2
ואתה,3
וב,1
ובאופן,4
ובאיזה,4
ובאנגלית,4
ובבנגלדש,5
ובבקשות,5
ובגלל,3
ובהוצאות,5
ובו,2
ובוודאי,4
ובטוח,4
ובטח,3
וביהודה,5
וביטן,3
וביעילות,5
וביקשו,3
ובית,2
ובכל,3
ובלגיה,3
ובמזרח,4
ובמחיר,4
ובמסגרתה,5
ובמספר,4
ובמקום,3
ובני,2
ובסך,3
ובסקר,4
ובעקבותיו,5
ובצמיחה,4
ובריחה,3
ובשום,3
ובשירותים,5
ובשנה,4
וגדל,3
וגדלה,3
וגם,2
ודברים,3
ודווקא,3
ודמוקרטיה,5
ודרך,3
ודרשו,3
והאביב,4
והאחרונה,5
והאמנות,5
והארץ,4
והבית,4
והגז,3
וההודעה,5
וההכרזה,5
וההמנון,4
והוא,2
והוגש,3
והולכות,3
והחזיר,3
והטוב,3
והטורדניות,6
והטחינה,4
והיא,2
והיו,3
והיום,3
והיסטוריה,4
והלך,3
והם,2
והמדינה,5
והמחקר,4
והמספר,4
והמספרים,5
והמציאות,5
והעברנו,5
והערבים,5
והפרקליטות,5
והצטרפנו,5
והצלחנו,4
והקפאות,4
והקצב,4
והרווחה,4
והשארתי,4
והשר,3
והתבקשתי,5
והתברר,4
והתחילו,4
והתקיימה,4
וואו,1
וזאת,2
וזה,2
וזהו,3
וזועק,3
וחוקי,3
וחייב,3
וחינוך,3
וחלילה,4
וחצי,3
וטו,2
וטכנולוגיה,5
ויותר,3
ויכוח,3
ויכולות,4
ויסגרו,4
ויצו,2
וירדו,3
ויש,2
וישראליות,6
ויתרו,2
וכבר,2
וכדין,3
וכך,2
וכמאה,4
וכמוני,4
וכמות,3
וכן,2
וכפר,2
ולא,2
ולבדוק,3
ולהחזיר,4
ולהחריב,4
ולהיכנס,5
ולכן,3
וללא,3
ולמעמד,5
ולמערכת,6
ולנהל,4
ולסגור,3
ולעבוד,4
ולעולם,4
ולפיה,4
ולפריז,4
ולקבל,4
ולשליטה,4
ומארג,4
ומדינות,4
ומהכלכלה,5
ומובילות,4
ומול,2
ומחליטים,4
ומיליארד,4
ומיצינו,4
ומיקי,3
ומסייעת,5
ומעולם,4
ומצויינת,5
ומשטר,3
ומשמר,3
ומשרד,3
ומתח,3
ומתחשבת,5
ומתמיד,3
ון,1
ונוסח,2
ונזכיר,3
ונחקר,3
וניתן,3
ונמצאים,4
ונמשכה,4
ונציג,3
ונשנות,3
וסמלי,3
ועבודה,4
ועבר,3
ועד,2
ועדה,3
ועדות,3
ועדת,3
ועוד,2
ועזבו,3
ועזרה,3
ועכשיו,3
ועל,2
ועם,2
ועמותות,4
וערב,3
ועשרות,4
ופחות,3
ופטור,2
ופיזיקה,4
ופסל,3
וצמצמתי,4
וקו,2
וקיבלתי,4
וקיים,3
וקנדה,4
וראש,2
ורבע,3
ורכש,3
ורק,2
ושוב,2
ושומרון,3
ושידעה,4
ושיטתי,4
ושירות,3
ושלא,3
ושלושת,3
ושלחנו,4
ושם,2
ושנתיים,4
ותאילנד,3
ותבדוק,3
ותבדקו,4
ותיקים,3
ותמר,3
ותנך,3
ותפרו,3
ותראו,3
זאת,1
זה,1
זו,1
זוגות,2
זוהר,2
זוכה,2
זוכים,2
זוכר,2
זול,1
זיהום,2
זכאים,3
זכויות,2
זכות,1
זכר,2
זמן,1
זנדברג,2
זקנים,2
זרם,2
זרק,2
זרקא,2
חבל,2
חבר,2
חברה,2
חברון,2
חברות,2
חברי,3
חבריו,3
חבריי,3
חברים,3
חברת,2
חד,1
חדש,2
חדשים,3
חוב,1
חובה,2
חובת,2
חודש,2
חודשי,2
חודשיים,3
חודשים,3
חוזר,2
חוזרות,2
חוכרים,2
חולים,2
חולק,2
חום,1
חוסכים,2
חופש,2
חופשות,2
חופשי,2
חוץ,1
חוק,1
חוקה,2
חוקי,2
חוקיים,3
חוקים,2
חוקית,2
חוקף,2
חוקק,2
חוקקו,3
חוקקתי,3
חוקרים,2
חוקתי,3
חושב,2
חזל,2
חזק,2
חזקות,2
חזר,2
חזרו,2
חזרתי,3
חטא,2
חיבור,2
חיונית,3
חיזק,2
חייב,2
חייבת,3
חייל,2
חיילות,3
חיילי,3
חיילים,3
חיים,2
חינוך,2
חינם,2
חיפה,2
חכ,1
חל,1
חלה,2
חלוט,2
חלופה,3
חלילה,3
חלק,2
חלקים,3
חלקית,2
חלש,2
חמור,2
חמישה,3
חמש,2
חמשת,3
חנויות,3
חניקה,3
חנכנו,3
חס,1
חסוי,2
חסויות,3
חסות,2
חסמו,2
חסר,2
חסרת,3
חפשו,2
חצי,2
חקיקה,3
חקיקתו,4
חקיקתי,4
חקירה,3
חרב,2
חרדי,3
חרדיות,4
חרדים,3
חרדית,3
חריג,2
חשב,2
חשבו,2
חשבון,2
חשד,2
חשדות,3
חשוב,2
חשוד,2
חשוף,2
חשמל,2
חשש,2
חתומים,3
חתמה,2
טבעי,2
טוב,1
טובת,2
טויוטה,2
טועה,2
טוען,2
טורקיה,2
טיבי,2
טילים,2
טיפול,2
טכנולוגיות,4
טכנית,2
טלפון,3
טעות,2
טענה,3
טענותיך,5
טענתם,4
טקס,2
טראמפ,1
טרור,2
טרמאפ,1
יאיר,2
יאכוף,3
יבנו,2
יד,1
ידו,2
ידוע,3
ידי,2
ידיים,3
ידעו,2
יהדות,3
יהודה,3
יהודי,3
יהודיות,4
יהודיים,4
יהודים,3
יהודית,3
יהיה,2
יהיו,2
יוגש,2
יודע,2
יודעים,2
יוזמן,2
יוכל,2
יום,1
יומיים,3
יועמש,3
יועצים,3
יוצא,2
יוקר,2
יוקרה,2
יור,1
יורד,2
יורדות,2
יורי,2
יורק,2
יורשע,2
יושבת,3
יותר,2
יחד,2
יחול,2
יחיד,2
יחידות,3
יחל,2
יחס,2
יחסי,3
יחסית,3
יימשך,3
יישארו,4
ייתכן,3
יכול,2
יכולה,3
יכולים,3
יכולנו,3
יכולת,3
יכולתי,3
יכלו,2
ילד,2
ילדים,3
ילידים,3
ילכו,2
ילמדו,3
ימי,2
ימים,2
ימין,2
ימשיכו,3
