,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
312,26/06/2018,מיקי מכלוף זוהר,על ההחלטה לא לפצל את התאגיד,ליכוד,גל״צ,untrue,תקשורת,תאגיד השידור,https://www.thewhistle.co.il/feed/Z909O25yqO,הכנסת ה-20,male,"""לא רצינו לחסל את התאגיד ולסגור אותו, לא הייתה שום מטרה כזאת ומעולם לא הצבנו מטרה כזאת"""
313,14/08/2018,מיקי מכלוף זוהר,על הערכת תאגיד השידור לגבי העלות הכוללת של האירוויזיון,ליכוד,גל״צ,untrue,תקשורת,תאגיד השידור,https://www.thewhistle.co.il/feed/AqW78DPyaJ,הכנסת ה-20,male,"""מי קבע שהאירוויזיון יעלה 150 מיליון שקל? לא עשו אירוויזיונים ב-40-30 מיליון שקל?"""
314,14/08/2018,מיקי מכלוף זוהר,על כהונת ראשי תאגיד השידור,ליכוד,גל״צ,mostly untrue,תקשורת,תאגיד השידור,https://www.thewhistle.co.il/feed/KRxooR6xOn,הכנסת ה-20,male,"""ראשי התאגיד - ואנחנו נצטרך לעשות שינוי חקיקתי בעניין הזה - תפקידם מובטח לשנים ארוכות בלי שלממשלה יש שום השפעה על העניין הזה"""
315,03/02/2019,מיקי מכלוף זוהר,על עמדתו של בנימין נתניהו על הקמת מדינה פלסטינית:,ליכוד,103FM,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/N1xgV2VyeO,מע׳ בחירות,male,"""אני לא שמעתי את ראש הממשלה מדבר על מדינה פלסטינית מאז נאום בר-אילן"""
316,01/05/2019,מיקי מכלוף זוהר,"על החשדות נגד רה""מ נתניהו:",ליכוד,כאן ב',untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/GkxzvZ4xo5,הכנסת ה-21,male,"""מעולם לא היה במדינת ישראל [ש]יחסי תקשורת-פוליטיקה נחשבים כשוחד"""
317,27/05/2019,מיקי מכלוף זוהר,"על מספר המתגייסים לצה""ל:",ליכוד,103FM,untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/47yD86zyGP,הכנסת ה-21,male,"""רה""מ היחיד שכיבד את ההחלטה על 18 שרים היה בנימין נתניהו. כל [משך כהונת] הממשלה שכיהנתי בה כשר המשפטים, מ-96' עד 99', [היא] מנתה 18 שרים"""
318,04/06/2019,מיקי מכלוף זוהר,על התחייבות הליכוד לשמור על תיק המשפטים במפלגה:,ליכוד,רשת,untrue,"כנסת, ממשלה ומנהל ציבורי",משרד המשפטים,https://www.thewhistle.co.il/feed/7nya1g2y9A,הכנסת ה-21,male,"""התחייבנו גם לפני הבחירות שתיק המשפטים יעבור לאחד מאנשי הליכוד"""
319,15/08/2017,מיקי רוזנטל,על יוזמת שקד לאיסור הדחה של שר מכהן,עבודה,פייסבוק,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/AqW78ewyaJ,הכנסת ה-20,male,"""הפתרון של איילת שקד לקרנבל השחיתות השלטונית – איסור להדיח פוליטיקאי מכהן. וואו! איך לא חשבו על זה קודם? כמה עגמת נפש היינו חוסכים לאולמרט, לקצב, להירשזון, אפילו דרעי"""
320,06/01/2018,מיקי רוזנטל,על תביעות ביטוח לאומי,עבודה,טוויטר,untrue,"עבודה, רווחה ובריאות",ביטוח לאומי,https://www.thewhistle.co.il/feed/RVxBjLmxZk,הכנסת ה-20,male,"""על פי נתוני הביטוח הלאומי מאז חוקק החוק ובגלל שעמלת התיווך הוזלה - יותר משתמשים במייצגים"""
321,01/01/2018,מירב בן ארי,על חוק המרכולים,כולנו,רדיו קול הים האדום,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/1l0L1L1Wva,הכנסת ה-20,female,"""אני לא כל כך נבהלת מהחוק הזה. כי בסוף, הסמכות לסגור עסקים תכלס בשטח נמצאת אצל ראש הרשות. כדי לסגור עסק הוא צריך לשלוח פקחים. עכשיו מה האינטרס של אותו ראש רשות, לשלוח פקחים שאגב רובם אני מניחה יהודים [...] שהם בכלל לא ילכו ויסגרו וגם בכלל לא עובדים בשבת"""
322,06/08/2017,מירי רגב,"על מעורבות נתניהו בתיקים 3,000 ו-4,000",ליכוד,גל״צ,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/rVxwgPGxmA,הכנסת ה-20,female,"""מנדלבליט אמר דבר מאוד פשוט – לנתניהו אין קשר לצוללות ואין קשר לבזק"""
323,03/09/2017,מירי רגב,על סעיפי חוק הנכבה,ליכוד,גל״צ,half true,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/jKx28nZWZq,הכנסת ה-20,female,"""יש חמישה חוקים בתוך חוק התקציב שזה חוק שאין לבזות את דגל וסמלי המדינה, שאין לעשות דה-לגיטימציה כנגד חיילי צה""ל, שאין לחתור נגד מדינת ישראל ואז אין לתקצב אותם"""
324,03/09/2017,מירי רגב,על סמכותה לשלול תקציבים מתוקף חוק הנכבה,ליכוד,גל״צ,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/NR0d2AAyBV,הכנסת ה-20,female,"""לצערי זה לא בסמכותה של שרת התרבות אלא של שר האוצר, כי הוא הממונה על חוק התקציב. וחוקי הנכבה נמצאים כחלק מחוק התקציב"""
325,07/01/2018,מירי רגב,על מסחר בשבתון באירופה,ליכוד,אולפן ynet,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/jKx28OjWZq,הכנסת ה-20,female,"""גם מי שנוסע לברלין, ללונדון ולפריז יודע שביום ראשון אתה לא עושה קניות. אז מה שטוב שם יכול להיות גם טוב כאן"""
326,08/04/2018,מירי רגב,על כרמי גילון,ליכוד,גל״צ,untrue,"כנסת, ממשלה ומנהל ציבורי",רצח רבין,https://www.thewhistle.co.il/feed/a5xQzkQ0qA,הכנסת ה-20,female,"״כרמי גילון צריך להתחבא, בתקופתו נרצח ראש ממשלה בישראל. הוא, אחרי שבעה חודשים הודח מתפקידו״"
327,07/06/2018,מירי רגב,על הטקס בטיימס סקוור,ליכוד,כאן ב׳,untrue,"כנסת, ממשלה ומנהל ציבורי",חגיגות ה-70,https://www.thewhistle.co.il/feed/e30EJN7WXQ,הכנסת ה-20,female,"""הטיימס סקוור מעולם לא נסגר, והוא נסגר בפעם הראשונה בחייו למדינת ישראל"""
328,07/06/2018,מירי רגב,על ביטול המשחק נגד ארגנטינה,ליכוד,כאן ב׳,untrue,"חינוך, תרבות וספורט",כדורגל,https://www.thewhistle.co.il/feed/Z909ONbyqO,הכנסת ה-20,female,"""אכן אמרנו שאנחנו נעביר עד 2.7 מיליון שקלים לעיריית ירושלים לטובת התאמות של העירייה למשחק"""
329,26/07/2018,מירי רגב,על פסיטבל הקולנוע בירושלים,ליכוד,פייסבוק,untrue,"חינוך, תרבות וספורט",קולנוע ישראלי,https://www.thewhistle.co.il/feed/kDy839GWwa,הכנסת ה-20,female,"""'הבלתי רשמיים' - הסרט על הקמת מפלגת ש""ס יהיה הסרט הישראלי הראשון, שיפתח את פסטיבל הקולנוע בירושלים"""
330,14/08/2018,מירי רגב,על גוש עציון,ליכוד,פייסבוק,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/GPxPqNJ0a6,הכנסת ה-20,female,"""השטח הזה רווי באתרים יהודיים. כאן, כמה שתחפרו לא תמצאו מטבע פלסטיני אחד. מה לעשות? רק עתיקות והיסטוריה של העם היהודי מלפני 3,000 ו-4,000 שנה"""
331,31/10/2018,מירי רגב,על תקציב התרבות בעת כהונתה לעומת תקופתו של יאיר לפיד באוצר,ליכוד,פייסבוק,mostly true,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/nJy3Y1k0PO,הכנסת ה-20,female,"""אנחנו הבאנו תוספות, אתם הבאתם אפס והקפאות. [...] אני הגדלתי את התקציב למיליארד"""
332,06/01/2019,מירי רגב,"על דברים שנכתבו בדו""ח מבקר המדינה על בני גנץ",ליכוד,גל״צ,mostly untrue,חוץ ובטחון,בני גנץ,https://www.thewhistle.co.il/feed/O10Y9a20wq,מע׳ בחירות,female,"""דו""ח המבקר בעניין צוק איתן קבע - בני גנץ אמר בקבינט במהלך המבצע כי למנהרות ברצועת עזה אין שום משמעות ויכולות"""
333,13/09/2017,מנחם אליעזר מוזס,על חוק הגיוס,יהדות התורה,כאן ב׳,mostly untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/QOxe2bY0GE,הכנסת ה-20,male,"""שמעתי מקודם את אלי ישי, שאומר כמה אלפים משרתים כבר היום בכל מיני מסגרות בצבא, ודווקא בתקופת לפיד אז המספר ירד"""
334,14/09/2017,מנחם אליעזר מוזס,על מינוי שופטים,יהדות התורה,הארץ,mostly untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/AqW781myaJ,הכנסת ה-20,male,"""באו חברים, בני אדם, שחבר מביא חבר, שלא נבחרו, ומחליטים להתלבש על הכנסת"""
335,28/02/2019,מפלגת הליכוד,"על החלטת בג""ץ לאפשר את פרסום החלטת היועמ""ש בתיקי נתניהו:",ליכוד,גלובס,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Xr0mz3rWpv,מע׳ בחירות,male,"""בג""ץ עצמו קבע בזמנו, בעניינו של צחי הנגבי, כי יש להימנע מפרסום החלטות יועמ""ש בתקופת בחירות, ומתח ביקורת על היועץ המשפטי דאז שעשה זאת"""
336,21/08/2017,מקורבים למש׳ נתניהו,על התביעה נגד שרה נתניהו,,הודעה לעיתונות,mostly untrue,חוק ומשפט,שרה נתניהו,https://www.thewhistle.co.il/feed/qX0nz1e0N9,הכנסת ה-20,male," ""בפסק הדין שניתן היום דחה בית המשפט הנכבד את רוב רובן של בקשות הסרק הקנטרניות והטורדניות של כספית"""
337,13/12/2017,מרב מיכאלי,על שילוב נשים בצה״ל,עבודה,ערוץ 10,mostly true,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/Xr0mzL2Wpv,הכנסת ה-20,female,"""15% מהצבא עדיין סגור לחלוטין בפני נשים"""
338,21/01/2018,מרב מיכאלי,על משך חופשת לידה,עבודה,כאן ב׳,half true,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/8d0G7oV0Jn,הכנסת ה-20,female,"מיכאלי: ""מדינות רבות באירופה נותנות חופשות לידה של יותר משנה וחצי, גם""בן-ארי: ""על חשבון מי? על חשבון המדינה?""מיכאלי: ""כן, על חשבון המדינה. 100% על חשבון המדינה. לשני ההורים"""
339,18/10/2018,מרב מיכאלי,על שיעור העוני בשנות כהונתו של נתניהו,עבודה,רדיוס,half true,כלכלה,עוני ואי-שיוויון,https://www.thewhistle.co.il/feed/wzy5KA40Q6,הכנסת ה-20,female,"""בכל שנה שנתניהו ראש הממשלה יש יותר משפחות בהן שני ההורים עובדים והם מתחת לקו העוני"""
340,28/11/2018,מרב מיכאלי,על רצח נשים בישראל,עבודה,גל״צ,TRUE,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/8d0G7gK0Jn,הכנסת ה-20,female,"""50% מהנשים שנרצחו פנו למשטרה בעבר"""
341,06/06/2019,משה (בוגי) יעלון,על חוסר הסדר בעבודת הממשלה:,כחול לבן,גל״צ,half true,"כנסת, ממשלה ומנהל ציבורי",תכניות עבודה ממשלתיות,https://www.thewhistle.co.il/feed/O10Y9Mp0wq,הכנסת ה-21,male,"""המשרד היחידי שיש לו תכנית רב-שנתית זה משרד הביטחון"""
342,10/07/2019,משה (בוגי) יעלון,על הצלחתו בגיוס חרדים:,כחול לבן,103FM,untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/e30EJYRWXQ,מע׳ בחירות,male,"""למה אצלי בג""צ לא התערב כשר הביטחון? אצלי החרדים עמדו ביעד"""
343,29/01/2019,משה בר סימן טוב,על ההוצאה ציבורית על בריאות בישראל:,,גל״צ,mostly untrue,כלכלה,תקציב הבריאות,https://www.thewhistle.co.il/feed/YXylJe60w2,מע׳ בחירות,male,"""ההוצאה הציבורית לבריאות בישראל היא הנמוכה בעולם"""
344,17/03/2019,משה גפני,על בנייה ייעודית לחרדים:,יהדות התורה,נאום,mostly untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/3wW6KgGyD2,מע׳ בחירות,male,"""איזו עיר חרדית או שכונה חרדית בנתה מדינת ישראל בשלושים שנה האחרונות עבור הציבור החרדי?"""
345,17/06/2018,משה כחלון,על הפחתת מס על טבק,כולנו,גל״צ,untrue,כלכלה,מסים,https://www.thewhistle.co.il/feed/NR0d2RbyBV,הכנסת ה-20,male,"""אין שום הוכחה שכשאתה מעלה מס הם מפסיקים לעשן"""
346,07/07/2018,משה כחלון,על הירידה בעוני ואי-שיוויון,כולנו,רשת,mostly untrue,כלכלה,עוני ואי-שיוויון,https://www.thewhistle.co.il/feed/O10Y9mj0wq,הכנסת ה-20,male,"״אחרי 15 שנים אי-השוויון מצטמצם (לפי) נתונים בינלאומיים, לא שלנו, העוני מצטמצם״"
347,16/07/2018,משה כחלון,על מחירי הדירות,כולנו,כאן ב׳,untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/Jm0AKzNyaM,הכנסת ה-20,male,"""כל שנה ב-15 השנים האחרונות מחירי הדירות עלו ב-8% עד 10%"""
348,17/12/2018,משה כחלון,על מדד אי השיוויון בתקופתו כשר אוצר,כולנו,פייסבוק,untrue,כלכלה,אי-שיוויון,https://www.thewhistle.co.il/feed/rVxwgqOxmA,הכנסת ה-20,male,"""זה פעם ראשונה ב-20 שנה שמדד הג'יני מצטמצם, הכי נמוך, אנחנו לא רחוקים מגרמניה"""
349,21/01/2019,משה כחלון,על שכר המינימום בישראל,כולנו,טוויטר,untrue,כלכלה,שכר,https://www.thewhistle.co.il/feed/DKWRRD6Wbj,מע׳ בחירות,male,"""כולם ידעו ששכר מינימום של 4,000 שקלים זה שכר רעב. לאף אחד לא היה אכפת עד שאנחנו העלנו את זה ל-5,300"""
350,10/02/2019,משה כחלון,על תקציב הבריאות בתקופת כהונתו:,כולנו,גל״צ,mostly true,כלכלה,תקציב הבריאות,https://www.thewhistle.co.il/feed/7nya16wy9A,מע׳ בחירות,male,"""תקציב הבריאות - אני נכנס לקדנציה - הוא 30 מיליארד ואני מסיים אותו כמעט עם 40 מיליארד [..] אני נתתי מה שלא נתנו פה 30 שנה ותבדוק אותי"""
351,12/09/2017,משה פייגלין,על תחבורה ציבורית,זהות,103FM,untrue,תחבורה,תחבורה ציבורית,https://www.thewhistle.co.il/feed/Xr0mzdvWpv,הכנסת ה-20,male,"""יש לך היום טכנולוגיות שמאפשרות הקמת חברות של היסע המונים כמו אובר למשל, שלוקחות אותך מדלת לדלת בנוחות מדהימה וביעילות מדהימה, ובמחיר זול יותר מאוטובוס או רכבת"""
352,11/03/2019,משה פייגלין,על הבעיה במערכת החינוך:,זהות,רשת,half true,כלכלה,תקציב החינוך,https://www.thewhistle.co.il/feed/OZWqm5KWjw,מע׳ בחירות,male,"""תקציב החינוך מגיע לסכום פנומנלי של למעלה מ-3,000 ש""ח לתלמיד לחודש [...] במבחני ההשוואה הבינלאומיים, תלמידי ישראל נמצאים במקומות האחרונים במערב, כשההשקעה היא בין הראשונים בעולם"""
353,28/03/2019,משה פייגלין,על יעילות ניהול הכספים של הביטוח הלאומי:,זהות,103FM,untrue,"כנסת, ממשלה ומנהל ציבורי",מבקר המדינה,https://www.thewhistle.co.il/feed/O10Y9nl0wq,מע׳ בחירות,male,"""פחות מ-50% מהסכום שאנחנו משלמים כביטוח לאומי חוזר בצורה של קצבאות ושירות לאזרח"""
354,12/12/2017,נורית קורן,על הגעת פליטים דרך מצרים,ליכוד,רשת,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/6a0JDlOyLN,הכנסת ה-20,female,"""אם אנחנו הולכים לפי אמנת הפליטים, אז הארץ הראשונה שהם מגיעים לשם [צריכה לבחון את בקשות המקלט]. והארץ הראשונה הייתה בכלל מצרים ולא ישראל"""
355,15/01/2018,נורית קורן,על ויצ״ו וחטופי תימן,ליכוד,הודעה לעיתונות,mostly untrue,"עבודה, רווחה ובריאות",חטופי תימן והבלקן,https://www.thewhistle.co.il/feed/nJy3Y2q0PO,הכנסת ה-20,female,"""רק בשבוע הקודם בוצעה פריצת דרך היסטורית ובמסגרתה הגיעו נציגי ויצו, לראשונה בהיסטוריה, לדיוני ועדה בנושא ואף התחייבו לפתוח את כל הארכיונים"""
356,23/10/2018,ניסן סלומינסקי,על חוק הלאום,הבית היהודי,רשת,untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/e30EJdNWXQ,הכנסת ה-20,male,"""חוק הלאום, דרך אגב, נוסח בזמנו על ידי ציפי לבני בכלל"""
357,30/06/2019,ניצן הורוביץ,על הצבעות ישראל ביתנו בנושאים אזרחיים:,מרצ,כאן ב׳,mostly true,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/YXylJ940w2,מע׳ בחירות,male,"""בכל הממשלות שהוא [ליברמן] היה, הוא לא החמיץ שום הזדמנות להצביע נגד נישואים אזרחיים, נגד תחבורה ציבורית בשבת, נגד זכויות להט""ב"""
358,18/07/2019,ניצן הורוביץ,על מצוקת האשפוז בישראל:,מרצ,פייסבוק,half true,"עבודה, רווחה ובריאות",מיטות אשפוז,https://www.thewhistle.co.il/feed/7nyaOjo09A,מע׳ בחירות,male,"""היום התפרסם הנתון: 2 מיטות אשפוז לאלף איש בישראל. זה הכי נמוך מכל המדינות המפותחות בהרבה"""
359,17/04/2019,ניר ברקת,"על שיעורי הגיוס לצה""ל בבירה:",ליכוד,כאן ב',untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/LK0ZavJxPk,מע׳ בחירות,male,"""בירושלים, במגזר הכללי, ממלכתי, ממלכתי-דתי, אחוז הגיוס בשנים האחרונות, תחת תפקידי, עלה מ-70% ל-90%"""
360,31/08/2017,נפתלי בנט,על העלייה במס׳ הניגשים ל-5 יח״ל,הבית היהודי,גלי ישראל,untrue,"חינוך, תרבות וספורט",חינוך,https://www.thewhistle.co.il/feed/Z909OAByqO,הכנסת ה-20,male,"""אנחנו כמעט הכפלנו את מספר מסיימי 5 יחידות לימוד מתמטיקה"""
361,17/09/2017,נפתלי בנט,על סמכות ביהמ״ש לפסול חוקים,הבית היהודי,ערוץ 7,TRUE,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/2GWMp4E0nv,הכנסת ה-20,male,"""אנחנו מסדירים למעשה דבר שקורה כיום בלי סמכות מפורשת. לא כתוב בשום חוק שלבג""ץ מותר לפסול חוקים"""
362,18/09/2017,נפתלי בנט,"על סמכות בג""ץ להתערב בחוקי יסוד",הבית היהודי,גל״צ,half true,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/Z8yXD4My42,הכנסת ה-20,male,"""בשבועות האחרונים הוא [בג""ץ] בא ואומר, גם את חוקי היסוד עצמם אנחנו יכולים לשנות מעת לעת [...] זה דבר לא מתקבל על הדעת, שקיים רק בשתי מדינות בכל עולם, בהודו ובבנגלדש"""
363,20/12/2017,נפתלי בנט,"בעקבות הצעת החוק שתצמצם את סמכות בג""ץ לפסול חוקים",הבית היהודי,כאן ב׳,untrue,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/dJxVqjny2D,הכנסת ה-20,male,"""כשהם [שופטי בג""ץ] למשל אומרים לנו - אתם לא יכולים לגרש מסתננים בלתי חוקיים, בסוף אנחנו נושאים באחריות ואוזקים לנו את הידיים"""
364,24/01/2018,נפתלי בנט,על בחינת בקשות מקלט בישראל,הבית היהודי,כאן ב׳,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/YXylJlK0w2,הכנסת ה-20,male,"""הכלל הוא כזה: אם אנחנו מוצאים שזה פליט שברח מסכנת חיים אנחנו נשאיר אותו פה, לא נפקיר אותו למותו [...] אנחנו בודקים את כל הפניות"""
365,24/01/2018,נפתלי בנט,על מבקשי מקלט ומהגרי עבודה מסודן ומאריתראה השוהים בישראל,הבית היהודי,פייסבוק,mostly untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/NR0d2lgyBV,הכנסת ה-20,male,"""מדובר בעיקר בגברים צעירים בגיל עבודה. יש יחס של 1:5 בין גברים לנשים. כמעט ואין זקנים או ילדים. אלו סימנים מובהקים להסתננות לצרכי עבודה, לעומת פליטות ובריחה מסכנת חיים"""
366,09/05/2018,נפתלי בנט,על קידום פסקת ההתגברות,הבית היהודי,גל״צ,untrue,דת ומדינה,הגירה,https://www.thewhistle.co.il/feed/Z8yXDPVy42,הכנסת ה-20,male,"""עדיין יש לנו פה 50,000 מסתננים שבינתיים מקימים פה משפחות"""
367,27/05/2018,נפתלי בנט,על חקירות חברי ממשלה בעשרות השנים האחרונות,הבית היהודי,כאן ב׳,TRUE,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/qX0nzwl0N9,הכנסת ה-20,male,"""בכל הממשלות בעשרות השנים האחרונות תמיד היה מי שנחקר"""
368,18/07/2018,נפתלי בנט,על מחסור ברופאים בישראל,הבית היהודי,הודעה לעיתונות,mostly true,"עבודה, רווחה ובריאות",מערכת הבריאות,https://www.thewhistle.co.il/feed/N1xgVzayeO,הכנסת ה-20,male,"""הקמת הפקולטה לרפואה מהווה מנוע צמיחה אדיר לאקדמיה ולמערכת הבריאות, שנמצאת במחסור חמור ברופאים"""
