,date,speaker,title,party,media,score,field,subject,link,knesset,gender,main-quote
159,28/11/2017,דוד אמסלם,"על חוק ההמלצות, שימנע מהמשטרה לפרסם",ליכוד,כאן ב׳,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Jm0AKJYyaM,הכנסת ה-20,male,"""היום אסור לפרסם את המלצת המשטרה בלי קשר לחוק הזה. אני כתבתי מכתב ליועמ""ש, אני רוצה להבין על איזה בסיס חוקי אתה נשען בזה שאתה נותן לפעמים היתרים לפרסם. אין חוק כזה. לכן, במשטר דמוקרטי מה שלא כתוב במפורש בחוק אסור לעשות, בעיקר כשאתה רומס זכויות אדם"""
160,28/11/2017,דוד אמסלם,"על חוק ההמלצות, שימנע מהמשטרה לפרסם",ליכוד,כאן ב׳,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/QXx465RW78,הכנסת ה-20,male,"""זה נתון שנתן שי ניצן פרקליט המדינה. מתוך 18 אלף תיקים שהמשטרה ממליצה, כותבת לפרקליטות שיש תשתית ראייתית, בכ-80% הפרקליטות סוגרת את התיקים"""
161,01/12/2017,דוד אמסלם,על חוק ההמלצות,ליכוד,פייסבוק,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/kDy83BKWwa,הכנסת ה-20,male,"""חוק ההמלצות נוגע בכל התיקים המשטרתיים בעבירות שבתחום טיפול הפרקליטות, ועל כולם, ללא יוצא מן הכלל, יחול איסור פירסום על המלצת המשטרה. כאמור, כ- 30,000 תיקים ולא כ- 200, כפי שמנסים לצייר!!! [...] כ- 20,000 אזרחים מידי שנה, כמוכם וכמוני שכל עולמם חרב עליהם רק בגלל פרסום ההמלצה!"""
162,26/02/2018,דוד אמסלם,על ההתכתבויות בין השופטת לחוקר תיק 4000,ליכוד,גל״צ,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/8Oxr5rKyDq,הכנסת ה-20,male,"""יש פה אירוע דרמטי, חמור מאוד, אני בטוח שהוא לא התחיל אתמול, אתה יודע, אני לא משוכנע שהוא גם נעצר אצל השופטת הזאת [...] מתי ראית פעם ששופט לא מקבל בקשה של המשטרה לימי מעצר?"""
163,13/06/2018,דוד אמסלם,על העוזרת של מיצל׳ן,ליכוד,גל״צ,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/47yD8NeyGP,הכנסת ה-20,male,"""אני קראתי את הראיון שעשו על הדס קליין ושם בעצם פורטה חלק מהחקירה שלה. אני לא אמרתי שהיא הלכה לעיתון והיא הדליפה לעיתון את החקירה"""
164,20/11/2018,דוד אמסלם,על המלצות המשטרה שעוברות לפרקליטות,ליכוד,103FM,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/QXx46V2W78,הכנסת ה-20,male,"""כ-90% מהמלצות המשטרה לא מתקבלות על ידי הפרקליטות"""
165,21/01/2019,דוד אמסלם,על עריכת שימוע לראש הממשלה בתקופת בחירות:,ליכוד,103FM,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/2GWMplg0nv,מע׳ בחירות,male,"""כל החלטה שמשפיעה על מערכת הבחירות אסור לעשות אותה. זה ההנחיות שמאז ומתמיד היו במערכת בחירות, גם לפקידות וגם לדרג הנבחר [...] היועמ""ש גם כפוף לאותו כלל"""
166,03/03/2019,דוד אמסלם,על אישור עסקת המיזוג בין בזק ל-yes:,ליכוד,כאן ב׳,mostly untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/Jm0AKmqyaM,מע׳ בחירות,male,"""ההחלטה הזאתי של הרגולטורים הייתה בכלל עוד לפני שראש הממשלה עוד היה שר התקשורת"""
167,03/08/2017,דוד ביטן,על ההפגנות בפ״ת,ליכוד,גלי ישראל,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/a5xQzJD0qA,הכנסת ה-20,male,"""קודם כל, אז שיציגו מי מממן, כיוון שזה עולה כסף [...] יש הנחיות של המשטרה שצריך אבטחה, ואבטחה עולה הרבה כסף"""
168,10/08/2017,דוד ביטן,על קבלת מתנות בידי עובדי ציבור,ליכוד,גלי ישראל,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/6a0JD6wyLN,הכנסת ה-20,male,"""החוק לא מתייחס, הוא מתייחס לאי קבלת מתנות, איסור, יש נוהל קבלת מתנות בדברים שקשורים לעבודה שלך. ושם אתה צריך לדווח. לגבי מתנות מחברים, אין חובת דיווח, אין איסור קבלה"""
169,16/09/2017,דוד ביטן,על סמכות ביהמ״ש לפסול חקיקה,ליכוד,ערוץ 10,TRUE,חוק ומשפט,"בג""ץ",https://www.thewhistle.co.il/feed/DKWRR4mWbj,הכנסת ה-20,male,"""פה גם בית משפט שלום יכול לבטל חוק"""
170,08/10/2017,דוד ביטן,"על פסיקת בג""ץ בעניין ההפגנות בפתח תקווה",ליכוד,גל״צ,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/NR0d2oVyBV,הכנסת ה-20,male,"""אז עכשיו כל אחד יכול לבוא, אלף, אלפיים, חמשת אלפים, רק לתת התראה של חצי שעה לפני זה"""
171,05/11/2017,דוד ביטן,על חוק עונש מוות למחבלים,ליכוד,גל״צ,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/8Oxr5RgyDq,הכנסת ה-20,male,"""היתה הצעת חוק לפני שנה, שנתיים [...] הפסדנו בהצבעה בשני קולות ולא יכולנו להעביר, וראש הממשלה תמך בהצעה"""
172,12/11/2017,דוד ביטן,על שכרו של רה״מ,ליכוד,כאן ב׳,untrue,"כנסת, ממשלה ומנהל ציבורי",שכר ראש הממשלה,https://www.thewhistle.co.il/feed/RVxBjnaxZk,הכנסת ה-20,male,"""ראש ממשלה מרוויח כמו סגן ראש עיר וזה דבר שלא יעלה על הדעת"""
173,25/11/2017,דוד ביטן,על עבודות הרכבת בשבת,ליכוד,גל״צ,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/O10Y93V0wq,הכנסת ה-20,male,"״הבעיה עם הרכבת, לצערי הרב, שאת כל העבודות שלהם הם עושים רק בשבת"""
174,23/05/2018,דוד ביטן,על הגיוס בצפון ת״א,ליכוד,גל״צ,untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/6a0JDNAyLN,הכנסת ה-20,male,"""בצפון תל אביב הרבה מאוד לא מתגייסים"""
175,23/05/2018,דוד ביטן,על החקירה בעניינו,ליכוד,ערוץ 10,untrue,חוק ומשפט,חקירת ביטן,https://www.thewhistle.co.il/feed/jKx28EgWZq,הכנסת ה-20,male,"״אני לא יכול להיות שר, כל העניין הוא שבחקירה הם חסמו אותי. אם הייתי שר ונחקר יכולתי להישאר שר. אם אתה לא שר, אתה לא יכול להתמנות״"
176,07/07/2018,דוד ביטן,על זמן נסיעה מאופקים לתל-אביב,ליכוד,כנס,untrue,תחבורה,תחבורה,https://www.thewhistle.co.il/feed/QOxe2Rl0GE,הכנסת ה-20,male,"""אתה יכול היום לגור באופקים ולעבוד בתל אביב כי לוקח לך בדיוק 40 דקות להגיע לתל אביב"""
177,29/01/2019,דוד ביטן,על החוק לגבי הדלפות מחקירות,ליכוד,גל״צ,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/kDy83kYWwa,מע׳ בחירות,male,"""החוק אומר שהדלפות זה עבירות פליליות, גם מי שמדליף וגם מי שאומר את ההדלפות, קרי – העיתונאים"""
178,10/10/2018,דני דנון,"בעקבות התפטרותה של שגרירת ארה""ב באו""ם",,ערוץ 20,mostly untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/DKWRRVbWbj,הכנסת ה-20,male,"""אנחנו נמצאים במומנטום מאוד חזק של נצחונות, העברנו החלטה בעצרת הכללית של גינוי החמאס"""
179,10/12/2018,דני דנון,"על הניסיון להעביר החלטה המגנה את חמאס בעצרת הכללית של האו""ם",ליכוד,רדיו קול-חי,mostly true,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/O4Wk2gg0jb,הכנסת ה-20,male,"""כשזה מגיע לישראל יש להם כללים שונים, ודרשו שיהיה רוב של שני-שליש [...] כשעברו הצעות נגד ישראל הן עברו ברוב רגיל"""
180,02/05/2019,דני דנון,"על האנטישמיות בארה""ב:",ליכוד,"גל""צ",half true,חוק ומשפט,פשעי שנאה,https://www.thewhistle.co.il/feed/QXx46GpW78,הכנסת ה-21,male,"""דו""ח של ה-FBI ל-2018 מציין עלייה במספרים: רוב פשעי השנאה היום בארצות הברית הם נגד יהודים"""
181,06/05/2019,דני דנון,"על הגיבוי בעולם לתקיפות צה""ל בעזה:",ליכוד,רשת,half true,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/8d0G7Qr0Jn,הכנסת ה-21,male,"""לא רק ארה""ב – גם האיחוד האירופי, מזכ""ל האו""ם, מדינות רבות אמרו 'ישראל צודקת בהתקפות שלה'"""
182,23/10/2017,זאב אלקין,על ההצעה נגד חקירת ראש ממשלה מכהן,ליכוד,גל״צ,half true,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/dJxVq4My2D,הכנסת ה-20,male,"""החוק, מה שקוראים לו החוק הצרפתי, לא הומצא על ידי דודי אמסלם והוא לא הראשון שהציע לאמץ את זה במדינת ישראל. החוק הזה עלה משמעותית לאוויר העולם ונוסח בפעם הראשונה בעברית והוגש בימי ממשלת אולמרט על ידי חברי כנסת מקדימה"""
183,31/10/2017,זאב אלקין,על תכניתו לירושלים,ליכוד,פייסבוק,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/GPxPqX20a6,הכנסת ה-20,male,"""ישנן שתי שכונות גדולות במזרח ירושלים ששונות מכל שאר השכונות הערביות בעיר: מחנה פליטים שועפט וכפר עקב. בעבר התקבלה החלטה להעביר גדר הפרדה בתוך שטחה המוניציפלי של ירושלים שהשאירה את שתי השכונות הללו מחוץ לגדר [...] הערכות הן שגרים שם כ-150-100 אלף איש"""
184,23/12/2017,זאב אלקין,על התנאים לפיטורי רה״מ,ליכוד,ערוץ 10,TRUE,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/KRxooXDxOn,הכנסת ה-20,male,"""החוק על שר ועל ראש ממשלה הוא שונה [...] המחוקק חשב על זה, שלשלוח ראש ממשלה הביתה זה להחליף ממשלה, ומשטר, וקו אידאולוגי במדינת ישראל, ולכן הוא שם בחוק רף הרבה יותר גבוה"""
185,16/01/2018,זאב אלקין,על שכר השרים,ליכוד,גל״צ,mostly true,כלכלה,שכר,https://www.thewhistle.co.il/feed/QOxe2vk0GE,הכנסת ה-20,male,"""כל אותם חברי כנסת שתקפו אתמול את המהלך הזה מהאופוזיציה, רובם המוחלט לא ויתרו על התוספת שלהם"""
186,25/07/2018,זאב אלקין,על חוק הפונדקאות,ליכוד,רשת,mostly untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/GPxPqkz0a6,הכנסת ה-20,male,"""שנתיים שיאיר לפיד היה שר בכיר ולא ישבו בממשלה מפלגות חרדיות, למה אז לא חוקקו את זה?"""
187,03/09/2018,זאב אלקין,"על החלטות אונסק""ו בעניין חברון וירושלים",ליכוד,גל״צ,half true,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/3wW6KkXyD2,הכנסת ה-20,male,"""לפני כשנה, אונסק""ו הכריזה על חברון כאתר מורשת פלסטיני, תוך התעלמות מוחלטת מההיסטוריה היהודית בחברון, וגם שורה של החלטות אחרות כמו ההחלטה שמוחקת את האופי היהודי של ירושלים [...] כל השיח על הר הבית כאתר מורשת מוסלמי בלבד"""
188,22/10/2018,זאב אלקין,על האוכלוסייה היהודית במזרח ירושלים,ליכוד,כאן ב׳,TRUE,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/Z8yXDAPy42,הכנסת ה-20,male,"""היום 40% מהאוכלוסייה היהודית בירושלים מתגוררים מעבר לקו הירוק"""
189,09/11/2018,זאב אלקין,על ההכרה הבינלאומית בירושלים כבירת ישראל,ליכוד,רדיו ת״א,untrue,חוץ ובטחון,יחסים בינ״ל,https://www.thewhistle.co.il/feed/LK0Za3YxPk,הכנסת ה-20,male,"""עובדה שאף מדינה לא רוצה להעביר שגרירות למערב ירושלים, בלי שום קשר לששת הימים ולשליטה שלנו במזרח העיר"""
190,03/12/2018,זאב אלקין,על התפטרותו של ראש הממשלה לשעבר אהוד אולמרט,ליכוד,גל״צ,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/GPxPqa70a6,הכנסת ה-20,male,"""[לפני התפטרות אולמרט] היה כבר הליך בשלב מאוד מתקדם, היה ברור שתהיה המלצה של היועץ המשפטי לממשלה. אנחנו במקום אחר לגמרי"""
191,19/05/2019,זאב אלקין,על החסינות הנשיאותית בצרפת,ליכוד,כאן ב',mostly untrue,חוק ומשפט,החוק הצרפתי,https://www.thewhistle.co.il/feed/8Oxr5YgyDq,הכנסת ה-21,male,"""הם רוצים שיהיה רוב של 11 לקואליציה מול 7 לאופוזיציה… גם בוועדת הכנסת… יש כאן בקשה לדריסה חסרת תקדים"""
192,11/01/2018,זהבה גלאון,על חוק המרכולים,מרצ,כאן ב׳,untrue,דת ומדינה,השבת,https://www.thewhistle.co.il/feed/6a0JDLPyLN,הכנסת ה-20,female,"""החוק הזה [חוק המרכולים] הוא חוקף עוקף בג""ץ דרך אגב, שבג""ץ כבר אמר עליו ברוב דעות שהוא חוק שפוגע בזכויות יסוד"""
193,29/05/2018,חיים ילין,על השפעת ההתנקתות על העוני בעזה,עבודה,גלי ישראל,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/1l0L196Wva,הכנסת ה-20,male,"""עובדתית, כל עוד אנחנו היינו ברצועת עזה [...] לא היה עוני ברצועת עזה"""
194,03/02/2019,חיים ילין,על צמצום הגירעון בתקופת לפיד במשרד האוצר:,עבודה,גל״צ,mostly untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/8Oxr5oXyDq,מע׳ בחירות,male,"""[יאיר לפיד] סגר גירעון של 40 מיליארד שקל"""
195,16/10/2017,יאיר לפיד,על מצב המשק כשכיהן כשר אוצר,יש עתיד,כנס,mostly untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/Xr0mzbvWpv,הכנסת ה-20,male,"""ב-2013 נתניהו העביר לי משק במשבר [...] בור תקציבי של 40 מיליארד שקל, גירעון משתולל, אבטלה גבוהה [...] ושנתיים אח""כ העברתי לו משק חזק, בור תקציבי 0, גירעון 2.6% מהנמוכים בתולדות המדינה, אבטלה מהנמוכות בתולדות המדינה"""
196,08/12/2017,יאיר לפיד,על הישגיו בתחום החברות הממשלתיות,יש עתיד,פייסבוק,half true,כלכלה,חברות ממשלתיות,https://www.thewhistle.co.il/feed/Z909OkJyqO,הכנסת ה-20,male,"""שינינו מהיסוד את כל דרך הניהול של החברות הממשלתיות, הוצאנו מהן את המינויים הפוליטיים והעברנו אותן מהפסד שנתי קבוע של מעל 600 מיליון שקל לרווח שנתי קבוע של מעל 2 מיליארד שקל"""
197,08/12/2017,יאיר לפיד,על הישגיו בתחום הדיור,יש עתיד,פייסבוק,mostly untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/O10Y9LV0wq,הכנסת ה-20,male,״הרבעון האחרון שלי באוצר היתה הפעם הראשונה מאז 2007 בה מחירי הדיור ירדו במקצת״
198,08/12/2017,יאיר לפיד,על מינויי נשים במשרד האוצר בתקופתו,יש עתיד,פייסבוק,mostly untrue,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/O10Y9LV0wq,הכנסת ה-20,male,״הרבעון האחרון שלי באוצר היתה הפעם הראשונה מאז 2007 בה מחירי הדיור ירדו במקצת״
199,26/12/2017,יאיר לפיד,על תוקף חוק ההמלצות על תיק הצוללות,יש עתיד,כאן ב׳,untrue,חוק ומשפט,חקירות נתניהו,https://www.thewhistle.co.il/feed/2GWMpa90nv,הכנסת ה-20,male,"""החוק הזה [חוק ההמלצות] רלוונטי לגמרי. מפני שכל המטרה שלהם זה שהחוק יעבור לפני שנתניהו יוזמן לחקירה בפרשת הצוללות"""
200,27/12/2017,יאיר לפיד,על מו״מ בנושא ירושלים,יש עתיד,גל״צ,untrue,חוץ ובטחון,סכסוך ישראלי-פלסטיני,https://www.thewhistle.co.il/feed/QXx46kqW78,הכנסת ה-20,male,"״בפעם הראשונה והאחרונה שמישהו הציע להם לדון בחלוקת ירושלים, שזה אהוד ברק בדצמבר 2000, שגם זרק פנימה לסל 95% משטחי הגדה, הם אמרו ׳לא׳, והתחילו את האינתיפאדה השנייה"""
201,09/04/2018,יאיר לפיד,על תגובת ישראל לדיווחים על תקיפות לכאורה בסוריה,יש עתיד,גל״צ,untrue,חוץ ובטחון,המלחמה בסוריה,https://www.thewhistle.co.il/feed/O10Y9Ja0wq,הכנסת ה-20,male,"""ישראל הרשמית מעולם ולעולם לא מתבטאת בנושאים האלה"""
202,02/07/2018,יאיר לפיד,על חוק הגיוס החדש,יש עתיד,אולפן ynet,untrue,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/3wW6KQnyD2,הכנסת ה-20,male,"""אם שלוש שנים לא יעמדו ביעדים, הסנקציות הפליליות מופעלות באופן אוטומטי, ואנשים ילכו לבית סוהר"""
203,03/09/2018,יאיר לפיד,על השינוי במחירי המזון והדיור בתקופת כהונתה של הממשלה הנוכחית,יש עתיד,נאום,mostly untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/rVxwg9QxmA,הכנסת ה-20,male,"""מאז הקמתה של הממשלה הזאת, מחירי הדירות עלו ב-13%, מחירי המזון עלו ב-8%"""
204,13/09/2018,יאיר לפיד,על השכר הריאלי במשק,יש עתיד,פייסבוק,untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/dJxVqzKy2D,הכנסת ה-20,male,"""אתם יודעים מה זה שחיקת השכר הריאלי? זה שאתה מרוויח אותו דבר, אבל ההוצאות שלך גדלות כי הכל עולה יותר. סטטיסטית, זה המצב של רוב אזרחי מדינת ישראל. מרוויחים אותו דבר, מוציאים הרבה יותר"""
205,03/10/2018,יאיר לפיד,"על תגובת סבא""א לנאום נתניהו באו""ם",יש עתיד,גל״צ,untrue,חוץ ובטחון,הסכם הגרעין האיראני,https://www.thewhistle.co.il/feed/a5xQzG40qA,הכנסת ה-20,male,"""העובדה שסבא""א שולחים אנשים לבדוק את המידע שהוא הביא באו""ם רק שלושה ימים אחרי, זאת דוגמה לחורים בפיקוח שלהם [...] היו להם [לאירן] שלושה ימים לפנות את מה שהיה שם, ואז הזמינו את העיתונאים ואת סבא""א"""
206,03/10/2018,יאיר לפיד,"על הגדרת אונר""א לפליטים הפלסטינים",יש עתיד,גל״צ,mostly untrue,חוץ ובטחון,הסכם הגרעין האיראני,https://www.thewhistle.co.il/feed/O10Y96n0wq,הכנסת ה-20,male,"""היום אדם יכול להיוולד בוילה בפריז או בקטאר, ולקבל בבוקר שבו הוא נולד תעודת תושב או תעודת אזרח צרפתי, אבל הוא גם פליט פלסטיני"""
207,01/11/2018,יאיר לפיד,על פועלה של יעל גרמן בנושא חוק הפונדקאות,יש עתיד,רשת,TRUE,דת ומדינה,שוויון זכויות,https://www.thewhistle.co.il/feed/6a0JD9RyLN,הכנסת ה-20,male,"""בסוף הממשלה הקודמת ב-2014 העברנו בקריאה ראשונה את חוק הפונדקאות המלא, כולל הזכויות של הקהילה הלהט""בית ורק אז הממשלה נפלה"""
208,19/12/2018,יאיר לפיד,על מחירי החשמל בתקופתו כשר אוצר,יש עתיד,פייסבוק,mostly untrue,כלכלה,יוקר המחיה,https://www.thewhistle.co.il/feed/3wW6K3YyD2,הכנסת ה-20,male,"""עם כניסתי למשרד האוצר [...] מחירי החשמל היו בשיא של כל הזמנים. פחות משנתיים אחר כך, כשנתניהו פירק את הממשלה, הם היו כבר בירידה תלולה"""
209,19/12/2018,יאיר לפיד,על השקעות הממשלה בחדשנות,יש עתיד,נאום,untrue,כלכלה,תקציב המדינה,https://www.thewhistle.co.il/feed/a5xQz8D0qA,הכנסת ה-20,male,"""הממשלה הזאת כל שנה הורידה עוד 300 מיליון שקל מתקציב הרשות הלאומית לחדשנות, יחד זה יותר ממיליארד"""
210,12/01/2019,יאיר לפיד,על עלות סל שירותי הבריאות בישראל,יש עתיד,רשת,untrue,כלכלה,תקציב הבריאות,https://www.thewhistle.co.il/feed/6a0JD4wyLN,מע׳ בחירות,male,"""המטוס של ראש הממשלה עולה 580 מיליון, סל הבריאות במדינת ישראל הוא 460 מיליון שקל. יהיה לו מטוס שעולה יותר מכל סל הבריאות של כל האנשים החולים במדינת ישראל"""
211,15/01/2019,יאיר לפיד,על עלות סל שירותי הבריאות בישראל,יש עתיד,כאן ב׳,TRUE,כלכלה,תקציב הבריאות,https://www.thewhistle.co.il/feed/AqW78OwyaJ,מע׳ בחירות,male,"""ראש הממשלה קונה לעצמו מטוס ב-580 מיליון שקל, כשהתוספת לסל הבריאות היא רק 460 מיליון שקל""."
212,28/01/2019,יאיר לפיד,"על פעילות מפלגתו לשילוב חרדים בצה""ל ובשוק העבודה",יש עתיד,פייסבוק,half true,דת ומדינה,חוק הגיוס,https://www.thewhistle.co.il/feed/36xj81OWRd,מע׳ בחירות,male,"""אנחנו המפלגה היחידה שהצליחה להעביר חוק גיוס אמיתי, עם שיניים, שהוביל לכך שיותר חרדים התגייסו ויותר חרדים יצאו לשוק העבודה"""
213,04/05/2019,יאיר לפיד,על ההבדל בקצבאות לקשישים ולתלמידי ישיבות:,כחול לבן,קשת,untrue,"עבודה, רווחה ובריאות",קצבאות זיקנה,https://www.thewhistle.co.il/feed/Jm0AKdgyaM,הכנסת ה-21,male,"""אם יש היום סבא בן 80 שלחם בכל מלחמות ישראל, הוא מקבל קצבה של 2,432 שקל, אבל אם יש תלמיד ישיבה בן 19, שמשתמט מגיוס לצה""ל, הוא יקבל 8,000 שקל עכשיו, כי זה מה שהם סידרו לו בממשלה הזאת"""
214,03/07/2019,יאיר לפיד,על המפנה בביצועי החברות הממשלתיות בזמן כהונתו כשר אוצר:,כחול לבן,נאום,mostly true,כלכלה,חברות ממשלתיות,https://www.thewhistle.co.il/feed/VnWb27NWve,מע׳ בחירות,male,"""השארתי לנתניהו חברות ממשלתיות שמרוויחות יותר מ-2 מיליארד שקל בשנה. כשקיבלתי אותן הן הפסידו 600 מיליון שקל בשנה"""
215,18/07/2019,יאיר לפיד,על הסיבות לגירעון התקציבי:,כחול לבן,גלובס,mostly untrue,כלכלה,גירעון,https://www.thewhistle.co.il/feed/O4WkkKVWjb,מע׳ בחירות,male,"""ההוצאה הציבורית בשנה האחרונה עלתה ב-10%. ההכנסות ירדו מתחת לתחזיות כי לא גבו ולא תפעלו את המשק כמו שצריך"""
216,16/07/2019,יבגני סובה,על הטבות לחיילים משוחררים:,ישראל ביתנו,גל״צ,half true,כלכלה,הטבות למשוחררים ומילואימנייקים,https://www.thewhistle.co.il/feed/NR0dqZ4WBV,מע׳ בחירות,male,"""מענק של יותר מאלף שקל בחודש לכל חייל בודד משוחרר, הטבות לחיילי מילואים עצמאים, את זה קידם שר הביטחון ליברמן"""
